Bin,CO,HC,NOx,PM2.5,CO2
1,0.00836725,0.000752846,0.035611328,0.000354991,2.92386537
2,0.00467269,0.000596973,0.02019672,0.000129638,1.632832228
3,0.010379163,0.000806431,0.039052486,0.000323794,3.626911409
4,0.010516629,0.000818503,0.055617879,0.000357235,3.674947997
5,0.015046237,0.00100708,0.092333847,0.000739624,5.257781636
6,0.016147643,0.001205599,0.105509619,0.001315355,5.642658477
7,0.022050935,0.001254409,0.098713296,0.001718058,7.705514719
8,0.021880747,0.00127154,0.099562857,0.002620023,7.64604386
9,0.020215603,0.001047969,0.060941628,0.000758131,7.064172997
10,0.022037162,0.000945477,0.085312567,0.000760201,7.700701826
11,0.028896798,0.001213712,0.12546971,0.000838686,10.09774388
12,0.037254086,0.001468389,0.145047842,0.000876152,13.01812848
13,0.03669202,0.00153124,0.138517555,0.000904489,12.8217192
14,0.051059666,0.001569496,0.138242755,0.001288389,17.84237253
15,0.035719647,0.001460379,0.138545216,0.001756706,12.48193153
16,0.033400179,0.001601606,0.13464727,0.004015752,11.67141288
17,0.022433825,0.001398311,0.112230058,0.000507912,7.839312391
18,0.01935355,0.00187454,0.092577721,0.001905507,11.29032072
19,0.024762599,0.002316418,0.104614246,0.001874104,14.44580945
20,0.034197069,0.002424039,0.102002301,0.002600069,19.94961556
21,0.023923134,0.002255511,0.102225472,0.006160938,13.9560888
22,0.022369677,0.002473631,0.099349375,0.005825605,13.04984522
23,0.015024992,0.002159648,0.082808855,0.007876447,8.765161033
